constraint_id,maximum,"constraint_type",minimum,generic_land_use_type_id,plan_type_id
171,9.66145,"units_per_acre",0,1,293
172,12,"units_per_acre",0,1,300
173,24.2,"units_per_acre",0,1,301
174,18.15,"units_per_acre",0,1,302
175,2.9,"units_per_acre",0,1,306
176,10.89,"units_per_acre",0,1,307
177,6.05,"units_per_acre",0,1,308
178,5.18,"units_per_acre",0,1,309
179,4.53,"units_per_acre",0,1,310
180,1.24,"units_per_acre",0,1,311
181,6.05,"units_per_acre",0,1,312
182,16.1935,"units_per_acre",0,1,316
183,12.5,"units_per_acre",0,1,324
184,3.5,"units_per_acre",0,1,325
185,4.5,"units_per_acre",0,1,326
186,5.5,"units_per_acre",0,1,327
187,0.2,"units_per_acre",0,1,328
188,34.7387,"units_per_acre",0,1,329
189,34.7387,"units_per_acre",0,1,330
190,22.6017,"units_per_acre",0,1,331
191,12,"units_per_acre",8,1,332
192,12,"units_per_acre",0,1,333
193,17,"units_per_acre",0,1,334
194,12,"units_per_acre",8,1,336
195,4,"units_per_acre",0,1,337
196,4.5,"units_per_acre",0,1,338
197,6,"units_per_acre",4,1,339
198,8,"units_per_acre",6,1,340
199,4.53,"units_per_acre",0,1,342
200,18.2076,"units_per_acre",0,1,344
201,16,"units_per_acre",0,1,346
202,23,"units_per_acre",0,1,347
203,4.53,"units_per_acre",0,1,348
204,5.18,"units_per_acre",0,1,349
205,7.26,"units_per_acre",0,1,350
206,4,"units_per_acre",0,1,354
207,8,"units_per_acre",0,1,355
208,24,"units_per_acre",10,1,356
209,2,"units_per_acre",1,1,358
210,3,"units_per_acre",1,1,359
211,5,"units_per_acre",2.5,1,360
212,30,"units_per_acre",0,1,362
213,30,"units_per_acre",0,1,363
214,35,"units_per_acre",0,1,368
215,7.3,"units_per_acre",0,1,369
216,7.3,"units_per_acre",0,1,370
217,18.15,"units_per_acre",0,1,374
218,18.15,"units_per_acre",0,1,375
219,9.66145,"units_per_acre",0,1,376
220,7.3,"units_per_acre",0,1,377
221,29.04,"units_per_acre",0,1,380
222,18.15,"units_per_acre",0,1,381
223,14.52,"units_per_acre",0,1,382
